time,open,high,low,close,tick_volume,spread,real_volume,sma_5,sma_20,sma_50,sma_200,ema_9,ema_12,ema_26,ema_50,ema_200,rsi_14,lowest_low,highest_high,stoch_k,stoch_d,bb_middle,bb_upper,bb_lower,bb_width,macd,signal,histogram,tr,atr_14,plus_dm,minus_dm,plus_di_14,minus_di_14,dx,adx_14,tenkan_sen,kijun_sen,senkou_span_a,senkou_span_b,chikou_span
2025-04-28 03:10:00,93499.43,93637.67,93475.92,93586.72,1802,2898,0,93552.876,93286.302,,,93493.27470676946,93458.15094818425,93385.27817532129,93402.37179206702,93530.32600926266,74.71345564532203,93032.7,93637.67,91.57809478155991,86.03457945565323,93286.302,93808.81351915181,92763.79048084818,0.011202320339631698,72.87277286296012,30.03131378785751,42.841459075102605,161.75,151.13571428571595,93.61999999999534,0.0,24.07183167326362,10.657730995866906,38.62444455518548,35.542185935251986,93500.32,93200.09,,,94106.38
2025-04-28 03:15:00,93586.65,93779.3,93569.89,93751.33,1954,2898,0,93589.952,93324.9055,,,93544.88576541557,93503.25541769437,93412.3931252975,93416.05642767224,93532.5250539466,76.52063855733371,93032.7,93779.3,96.253683364586,89.89094798529298,93324.9055,93865.66685666495,92784.14414333504,0.01158878980413117,90.86229239686509,42.19750950965903,48.66478288720606,209.4100000000035,151.86642857142994,141.63000000000466,0.0,27.974471949640282,9.702903271924626,48.49480243851434,36.46737282834215,93589.48000000001,93270.905,,,94097.59
2025-04-28 03:20:00,93751.27,93842.62,93688.33,93795.55,1847,2898,0,93627.91200000001,93368.93549999999,,,93595.01861233247,93548.22381497217,93440.7751160162,93430.93852854785,93535.14221758893,84.43263852600235,93032.7,93842.62,94.18831489529921,94.0066976804817,93368.93549999999,93912.54496285382,92825.32603714617,0.011644332452603077,107.44869895596639,55.2477473989205,52.20095155704589,154.2899999999936,153.1121428571444,63.31999999999243,0.0,28.841582724080105,9.05893778962302,52.19623547730583,37.59086301755384,93625.66500000001,93302.565,,,94032.32
2025-04-28 03:25:00,93796.81,93802.28,93710.75,93734.83,1635,2898,0,93673.626,93409.81,,,93622.98088986598,93576.93245882262,93462.55695927427,93442.85584115381,93537.12916069751,75.87059259097967,93229.29,93842.62,82.4254479643922,90.95581540809246,93409.81,93932.9994540624,92886.62054593759,0.0112020237288226,114.37549954834685,67.07329782880578,47.302201719541074,91.52999999999884,142.12000000000157,0.0,0.0,27.668426846479637,8.690457799659077,52.19623547730585,38.63410390753613,93649.83499999999,93302.565,,,94063.31
2025-04-28 03:30:00,93734.52,93991.07,93728.9,93836.23,1828,2898,0,93740.932,93457.6875,,,93665.6307118928,93616.82438823451,93490.23644377248,93458.28227875562,93540.10528845177,75.96455262330132,93303.92,93991.07,77.46634650367328,84.69336978778823,93457.6875,93950.60450216803,92964.77049783197,0.010548452788713244,126.58794446203683,78.976227155452,47.611717306584836,262.1700000000128,149.20857142857338,188.79000000000815,0.0,32.611796433754556,7.721623573641362,61.71103976689578,40.28245646891896,93724.06,93376.79000000001,,,94150.21
2025-04-28 03:35:00,93835.35,93926.2,93774.73,93874.21,1747,2898,0,93798.43000000001,93504.0765,,,93707.34656951424,93656.42217465997,93518.67892941897,93474.59316978481,93543.42971344231,76.32180714652105,93362.97,93991.07,81.394682375418,80.4288256144945,93504.0765,93968.191285633,93039.96171436699,0.009927156184105113,137.74324524099939,90.72963077256148,47.01361446843791,151.47000000000116,150.26357142857367,0.0,0.0,30.496436712764424,7.2207615152905245,61.71103976689579,41.813069561631586,93724.06,93376.79000000001,,,94120.66
2025-04-28 03:40:00,93871.41,93875.46,93736.41,93861.86,1860,2898,0,93820.53600000001,93542.67250000002,,,93738.2492556114,93688.02799394305,93544.099749462,93489.78010430306,93546.59817400508,71.44809910294737,93399.66,93991.07,78.15221250908749,79.00441379605958,93542.67250000002,93989.85526154873,93095.4897384513,0.009561043096105955,143.9282444810524,101.36935351425966,42.55889096679273,139.0500000000029,143.0614285714307,0.0,38.31999999999243,28.658653259461854,8.44635501820793,54.47323469111828,42.717367070880634,93724.06,93376.79000000001,,,94227.13
2025-04-28 03:45:00,93861.35,93901.71,93807.71,93876.63,1692,2898,0,93836.75200000001,93577.6445,,,93765.92540448913,93717.04368718258,93568.73161987221,93504.95068844804,93549.8820727712,77.0152701142043,93408.71,93991.07,80.34892506353421,79.96527331601324,93577.6445,94013.74162677099,93141.547373229,0.009320540800126625,148.31206731036946,110.75789627348163,37.55417103688782,94.0,140.81571428571624,26.25,0.0,28.62784157615416,8.091370924710231,55.928407100126364,43.66101278725533,93724.06,93390.54500000001,,,94203.54
2025-04-28 03:50:00,93876.63,93882.23,93788.59,93835.23,1687,2898,0,93856.83200000001,93615.2105,,,93779.78632359131,93735.2261968468,93588.47224062242,93517.90281831282,93552.72135562921,72.5311410064761,93457.05,93991.07,70.81757237556461,76.43956998272877,93615.2105,93998.46822285146,93231.95277714854,0.008187936998794795,146.75395622437645,117.95710826366061,28.796847960715837,93.63999999999942,138.99785714285932,0.0,19.120000000009895,27.39276559122382,8.623199174300911,52.114573465180506,44.26483854996427,93733.495,93391.85500000001,,,94321.83
2025-04-28 03:55:00,93835.2,93898.46,93806.11,93837.68,1677,2898,0,93857.122,93644.111,,,93791.36505887305,93750.98832040883,93606.9320746504,93530.44309994762,93555.55676502593,70.3159283339377,93457.05,93991.07,71.27635669075825,74.14761804328568,93644.111,94000.72951750491,93287.4924824951,0.007616464371259889,144.05624575843103,123.1769357626147,20.879309995816328,92.35000000000582,137.1842857142879,16.230000000010477,0.0,26.962590689048337,8.245386711958687,53.16182683233117,44.90033771299047,93780.48000000001,93391.85500000001,,,94326.88
2025-04-28 04:00:00,93836.93,93954.41,93836.26,93954.41,1803,2898,0,93873.162,93673.9575,,,93823.97404709844,93782.28396342284,93632.67118023185,93547.06925289085,93559.52545393114,73.41531042796781,93457.05,93991.07,93.13508857346106,78.40967254659465,93673.9575,94029.48572417388,93318.42927582613,0.007590759132256691,149.61278319099802,128.46410524829136,21.148677942706655,118.15000000000873,138.4542857142889,55.94999999999709,0.0,28.123513931818998,7.7759848812921595,56.6791451781927,45.741681103362055,93839.70000000001,93391.85500000001,,,94378.62
2025-04-28 04:05:00,93954.41,93990.92,93883.39,93885.82,1774,2898,0,93877.954,93699.171,93446.9016,,93836.34323767875,93798.21258443472,93651.42294465912,93560.35359591476,93562.77216583233,66.31558098078708,93457.05,93991.07,80.29100033706618,81.56748186709517,93699.171,94038.5421436978,93359.7998563022,0.007243845171219384,146.7896397755976,132.12921215375263,14.660427621844974,107.52999999999884,135.30357142857352,36.50999999999476,0.0,28.43161095782289,7.365034723174666,58.8506990917065,46.67803953110094,93850.91,93439.77,,,94396.23
2025-04-28 04:10:00,93885.62,93999.92,93885.62,93959.95,1706,2898,0,93894.618,93721.649,93453.62960000001,,93861.06459014301,93823.09526375246,93674.27680061029,93576.02404313379,93566.72418408275,77.23458153746355,93457.05,93999.92,92.63727964337659,88.68778951796794,93721.649,94067.85638651857,93375.44161348144,0.007387991786584263,148.81846314217546,135.46706235143722,13.35140079073824,114.30000000000291,134.04571428571631,9.0,0.0,27.258881561967822,6.944888658753361,59.39109277172002,47.586114762573736,93864.41,93516.31,,,94342.35
2025-04-28 04:15:00,93959.73,94049.03,93914.58,94015.16,1835,2898,0,93930.604,93749.6285,93465.93280000001,,93891.88367211442,93852.64368471362,93699.52740797249,93593.24506105011,93571.18623200232,79.23500986864427,93475.92,94049.03,94.090139763746,89.00613991472959,93749.6285,94095.74272156494,93403.51427843508,0.00738379931958729,153.1162767411297,138.99690522937573,14.119371511753968,134.4499999999971,137.43500000000182,49.11000000000058,0.0,27.88347181500489,6.476843091452826,62.30044393315172,48.63713827475788,93892.72,93540.86499999999,93141.51749999999,,94318.44
2025-04-28 04:20:00,94015.36,94051.03,93935.28,94032.84,1878,2898,0,93969.636,93777.59700000001,93478.895,,93920.07493769153,93880.36619475768,93724.21722960417,93610.48407826383,93575.77980183315,77.46232640598743,93569.89,94051.03,96.21939560211116,94.3156050030779,93777.59700000001,94120.13459072089,93435.05940927913,0.007305318150152214,156.14896515350847,142.42731721420228,13.721647939306195,115.75,134.14928571428754,2.0,0.0,26.34528088832489,6.095945025605247,62.41852856129168,49.621523295224584,93893.72,93541.86499999999,93141.51749999999,,94320.77
2025-04-28 04:25:00,94033.7,94160.79,94028.12,94153.46,1821,2898,0,94009.44600000001,93808.4785,93492.26120000001,,93966.75195015324,93922.38062633343,93756.01299037423,93631.77725166525,93581.52786350646,76.17181906931268,93688.33,94160.79,98.44854590865103,96.2526937581694,93808.4785,94170.0759431253,93446.8810568747,0.007709269970204197,166.36763595919183,147.21538096320018,19.152254995991655,132.66999999999825,128.6678571428586,109.75999999999476,0.0,30.161395300278947,5.683383462806576,68.28891872721186,50.95490868322368,93974.69,93695.04,93145.7925,,94374.75
2025-04-28 04:30:00,94153.53,94180.55,94021.41,94042.65,1847,2898,0,94040.812,93832.3135,93504.4626,,93981.9315601226,93940.88360689752,93777.24536145764,93647.88990846269,93586.11614347158,64.79924296871133,93710.75,94180.55,70.647083865473,88.4383417920784,93832.3135,94189.41571159688,93475.21128840312,0.007611497538039085,163.63824543988449,150.49995385853703,13.13829158134746,159.13999999999942,129.01428571428758,19.760000000009313,0.0,28.73477955838736,5.226456902796981,69.22104465324453,52.25963268108231,93984.57,93742.235,93181.19499999999,,94550.69
2025-04-28 04:35:00,94042.61,94099.13,94026.49,94068.83,1858,2898,0,94062.588,93855.4675,93514.8316,,93999.31124809808,93960.56766737482,93798.84422357188,93664.39736303278,93590.91926642212,70.86717480944525,93728.9,94180.55,75.26403188309554,81.4532205524065,93855.4675,94210.76317558512,93500.17182441488,0.007571123665973305,161.7234438029409,152.7446518474178,8.978791955523093,72.63999999999942,127.66500000000191,0.0,0.0,27.642344850196476,5.0277582174676665,69.22104465324453,53.47116210766532,93993.33,93771.76000000001,93193.95,,94448.43
2025-04-28 04:40:00,94068.83,94078.21,94004.75,94028.4,1906,2898,0,94065.236,93881.5745,93522.5302,,94005.12899847847,93971.00341085561,93815.84835515915,93678.67197624718,93595.27230854727,62.99622631301196,93736.41,94180.55,65.74278380690572,70.55129985182475,93881.5745,94204.04672440817,93559.10227559184,0.006869766003086453,155.15505569646484,153.2267326172272,1.9283230792376287,73.4600000000064,114.18571428571575,0.0,21.74000000000524,26.543331852487363,6.0044839473980876,63.10361356156368,54.15919435437235,94008.405,93790.10500000001,93234.50749999999,,94435.08
2025-04-28 04:45:00,94027.54,94102.31,94015.01,94068.62,1805,2898,0,94072.39199999999,93910.02050000001,93530.94140000001,,94017.82719878278,93986.02134764705,93834.57218070292,93693.96405561003,93599.98223582542,63.10800059333412,93736.41,94180.55,74.79848696356831,71.93510088452318,93910.02050000001,94187.9523283302,93632.08867166983,0.005919109097206162,151.44916694413405,152.87121948260858,-1.4220525384745315,87.30000000000291,109.60214285714444,24.09999999999127,0.0,26.594783738782663,5.713749082355164,64.63009252703081,54.907115652419385,94031.97,93794.63,93234.50749999999,,94570.53
2025-04-28 04:50:00,94070.23,94082.19,93976.73,93999.6,1895,2898,0,94041.62,93930.6645,93539.272,,94014.18175902622,93988.11037108598,93846.79646361382,93705.94977891944,93603.95853198635,58.627731008218035,93788.59,94180.55,53.83457495662972,64.79194857570126,93930.6645,94165.4754024166,93695.8535975834,0.004999664458172852,141.31390747215482,150.55975708051784,-9.245849608363017,105.4600000000064,107.20285714285897,0.0,38.279999999998836,25.018819193812185,7.526130360840126,53.74931924106016,54.82441590875087,94033.08499999999,93818.8,93242.1225,,94538.5
2025-04-28 04:55:00,94000.45,94023.01,93974.3,94018.14,1817,2898,0,94036.71800000001,93944.005,93550.06619999999,,94014.97340722098,93992.73031399582,93859.48857742021,93718.1925326873,93608.0797406233,58.82220919938595,93788.59,94180.55,58.564649454025705,62.39923712474124,93944.005,94165.87669402729,93722.13330597272,0.0047234880826570284,133.24173657561187,147.09615297953664,-13.854416403924773,48.70999999999185,103.96785714285839,0.0,2.429999999993015,24.302484956880903,7.45347936933863,53.057767084184476,54.69822670699613,94047.565,93818.8,93268.76999999999,,94566.75
2025-04-28 05:00:00,94018.11,94105.97,93946.04,93957.22,1894,2898,0,94014.396,93952.0885,93560.5182,,94003.42272577679,93987.2671887657,93866.72794205575,93727.56615885643,93611.55377305491,57.42456148892939,93806.11,94180.55,40.35626535626526,50.91849658897356,93952.0885,94162.68033302756,93741.49666697244,0.004482962250010225,120.53924670995912,141.78477172562114,-21.245525015662025,159.93000000000757,108.70285714285897,82.9600000000064,0.0,26.837053831385905,6.768270324365246,59.71905943834238,55.056857616378004,94057.91500000001,93818.8,93258.0775,,94489.55
